ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"113.195.221.20","elite","AS4837","CN","China Unicom CHINA169 Network","186","N/A","9999","socks4","3707","1","2023-08-27T07:54:14.641Z","53","1885","3564"
"177.85.205.29","elite","AS52554","BR","S. A. da Silva Junior","198","S. A. da Silva Junior","3629","socks4","4714","1","2023-08-27T07:54:09.442Z","98","3449","3518"
"203.23.103.127","elite","AS209242","BZ","Cloudflare London, LLC","11","Umpire Associates LTD","80","socks4","4702","1","2023-08-27T07:54:09.449Z","100","3529","3529"
"116.203.227.24","elite","AS24940","DE","Hetzner Online GmbH","18","Hetzner","24940","socks4","1501","82","2023-08-27T07:54:09.451Z","95","3354","3524"
"177.36.185.182","elite","AS53062","BR","Ggnet Telecom Backbone","255","Ggnet Telecom Backbone","5678","socks4","3901","1","2023-08-27T07:54:09.452Z","99","3543","3585"
"171.232.74.46","elite","AS7552","VN","Viettel Corporation","292","VIETEL","4005","socks4","2290","1","2023-08-27T07:54:09.445Z","90","3191","3527"
"218.1.200.180","elite","AS4812","CN","China Telecom","190","N/A","57114","socks5","4291","1","2023-08-27T07:54:09.441Z","43","1527","3548"
"124.163.236.54","elite","AS4837","CN","CNC Group CHINA169 Shan1xi Province Network","287","N/A","7302","socks5","4597","1","2023-08-27T07:54:04.434Z","82","2907","3548"
"159.192.91.134","elite","AS131090","TH","CAT-BB","190","N/A","5678","socks4","5093","1","2023-08-27T07:54:04.436Z","86","3058","3558"
"112.215.33.114","elite","AS17885","ID","XL-AXIATA Tbk GSM","185","N/A","3629","socks4","4895","1","2023-08-27T07:54:04.445Z","98","3497","3573"
"172.67.181.197","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4602","1","2023-08-27T07:54:04.442Z","100","3620","3621"
"185.128.153.79","elite","AS5484","IR","Shabakeh Gostar Shahriyar Co. (Ltd.)","127","CIS IT Group","3128","socks4","5008","1","2023-08-27T07:54:04.446Z","93","3240","3479"
"201.20.80.113","elite","AS28598","BR","MOB SERVICOS DE TELECOMUNICACOES S.A.","428","MOB SERVICOS DE TELECOMUNICACOES S.A","666","socks4","4392","1","2023-08-27T07:53:59.445Z","100","3548","3550"
"104.21.194.182","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks5","3707","82","2023-08-27T07:53:59.450Z","100","3528","3529"
"45.32.3.90","elite","AS20473","US","The Constant Company","86","Knoxville Internet","8888","socks5","4806","1","2023-08-27T07:53:59.536Z","100","3564","3564"
"199.195.253.35","elite","AS53667","US","FranTech Solutions","79","FranTech Solutions","30637","socks4","4897","1","2023-08-27T07:53:59.538Z","99","3556","3583"
"116.212.142.231","elite","AS38235","KH","Angkor Data Communication","209","Mekongnet","33427","socks5","4794","1","2023-08-27T07:53:59.446Z","97","3516","3635"
"104.24.220.52","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks5","4696","1","2023-08-27T07:53:59.447Z","100","3533","3533"
"198.211.38.45","elite","AS35916","US","Multacom Corporation","194","Amazon.com, Inc","47457","socks4","5096","1","2023-08-27T07:53:59.539Z","93","3384","3625"
"72.52.131.65","elite","AS32244","US","Liquid Web, L.L.C","103","SourceDNS","80","socks5","3101","1","2023-08-27T07:53:54.445Z","96","3379","3538"
"197.234.13.63","elite","AS36902","SC","Intelvision","199","Intelvision Ltd","4145","socks4","5101","1","2023-08-27T07:53:54.438Z","100","3506","3517"
"141.95.86.243","elite","AS16276","DE","OVH SAS","99","OVH GmbH","9050","socks5","4503","1","2023-08-27T07:53:54.452Z","100","3502","3506"
"110.34.166.187","elite","AS45652","SG","Krypt Technologies","244","Vpls Sin1","4153","socks4","4904","1","2023-08-27T07:53:54.441Z","99","3534","3583"
"180.94.64.58","elite","AS55330","AF","Cafe-AFGHANTELECOM","194","N/A","5678","socks4","4593","82","2023-08-27T07:53:49.346Z","99","3509","3552"
"103.47.216.19","elite","AS133692","IN","Fastnet Communication Pvt. Ltd","196","Fastnet Communication Pvt. Ltd.","4145","socks4","5001","1","2023-08-27T07:53:49.345Z","99","3560","3612"
"112.250.211.161","elite","AS4837","CN","China Unicom CHINA169 Shandong Province Network","290","N/A","38801","socks4","629","1","2023-08-27T07:53:49.349Z","81","2816","3478"
"103.78.210.178","elite","AS131111","ID","MORATELINDO","201","Moratelindo","30000","socks4","227","1","2023-08-27T07:53:49.439Z","98","3563","3621"
"1.1.1.18","elite","AS13335","AU","Cloudflare, Inc","2","APNIC and Cloudflare DNS Resolver project","80","socks5","4789","1","2023-08-27T07:53:44.239Z","100","3639","3639"
"129.205.183.58","elite","AS37353","ZA","Seacom Western Cape (Pty) Ltd","157","Ipc1","1080","socks4","1195","1","2023-08-27T07:53:44.245Z","31","1102","3529"
"36.92.177.9","elite","AS7713","ID","Telekomunikasi Indonesia","209","Temporary","1081","socks4","5095","1","2023-08-27T07:53:44.243Z","97","3532","3628"
"179.107.53.119","elite","AS263284","BR","Topmega Internet e Informática LTDA -ME","286","Topmega Internet e Informática LTDA -ME","4153","socks4","3194","1","2023-08-27T07:53:44.246Z","85","3054","3592"
"165.225.8.100","elite","AS22616","US","ZSCALER, INC.","93","Zscaler, Inc","10605","socks4","4900","1","2023-08-27T07:53:39.136Z","97","3542","3638"
"45.63.70.67","elite","AS20473","US","The Constant Company","98","Vultr Holdings, LLC","29313","socks4","4911","1","2023-08-27T07:53:39.236Z","59","2066","3507"
"36.37.93.98","elite","AS4800","ID","PT Aplikanusa Lintasarta","285","LA SII","4145","socks4","4508","1","2023-08-27T07:53:39.138Z","95","3347","3514"
"185.32.4.98","elite","AS60645","PL","AS Consulting Sp. z o. o.","42","Core Network Fiber","4153","socks4","4698","1","2023-08-27T07:53:39.239Z","100","3541","3553"
"177.87.230.31","elite","AS262309","BR","BMBB SERVIÇOS DE COMUNICAÇÃO LTDA","206","BMBB SERVIÇOS DE COMUNICAÇÃO LTDA","43573","socks4","2519","1","2023-08-27T07:53:39.140Z","100","3610","3622"
"202.6.224.52","elite","AS23756","ID","Padi Internet","194","N/A","1080","socks4","4689","1","2023-08-27T07:53:39.134Z","100","3619","3627"
"45.112.125.62","elite","AS58369","ID","FIBERNET","166","N/A","4145","socks4","4692","1","2023-08-27T07:53:39.051Z","99","3595","3631"
"159.223.117.14","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","24006","socks5","1799","1","2023-08-27T07:53:39.237Z","88","3081","3484"
"45.7.177.209","elite","AS266626","BR","Litoral Telecom","171","Litoral Telecom","39867","socks4","4892","1","2023-08-27T07:53:39.143Z","99","3457","3483"
"109.205.243.10","elite","AS56656","SK","Detronics s.r.o","82","Detronics s.r.o.","5678","socks4","4094","1","2023-08-27T07:53:33.033Z","100","3632","3638"
"31.44.82.182","elite","AS29226","RU","JSC Mastertel","48","Mastertel","5678","socks4","4800","1","2023-08-27T07:53:27.936Z","100","3582","3588"
"185.2.100.85","elite","AS51167","DE","Contabo GmbH","21","Contabo GmbH","40826","socks4","4586","1","2023-08-27T07:53:23.046Z","100","3541","3543"
"184.82.140.210","elite","AS133481","TH","AIS-Fibre","189","N/A","4145","socks4","4604","86","2023-08-27T07:53:22.947Z","94","3383","3606"
"49.12.234.231","elite","AS24940","DE","Hetzner Online GmbH","15","Hetzner","10040","socks5","4811","1","2023-08-27T07:53:22.943Z","87","3099","3543"
"45.14.174.180","elite","AS209242","DE","CloudKleyer","88","N/A","80","socks4","4808","1","2023-08-27T07:53:22.944Z","100","3565","3570"
"186.224.225.26","elite","AS53171","BR","Path Telecom S.A.","287","Path Telecom S.A","42648","socks4","1904","1","2023-08-27T07:53:22.945Z","100","3631","3641"
"71.234.197.16","elite","AS7015","US","Comcast Cable Communications, LLC","185","Comcast Cable Communications, Inc.","4600","socks4","4610","1","2023-08-27T07:53:22.946Z","97","3341","3436"
"43.130.199.69","elite","AS132203","CA","Shenzhen Tencent Computer Systems Company Limited","96","Tencent Cloud Computing","443","socks5","3401","1","2023-08-27T07:53:18.048Z","83","2947","3567"
"197.157.254.162","elite","AS37451","CG","Congo Telecom","211","N/A","4145","socks4","4708","1","2023-08-27T07:53:18.049Z","98","3411","3472"
"170.254.255.252","elite","AS52584","BR","Connect Fibra","216","Connect Fibra","45816","socks4","4709","1","2023-08-27T07:53:18.135Z","99","3587","3632"
"51.68.87.157","elite","AS16276","FR","OVH SAS","8","OVH","49320","socks4","1699","1","2023-08-27T07:53:18.045Z","100","3565","3565"
"104.19.5.247","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks4","4583","1","2023-08-27T07:53:18.136Z","100","3581","3581"
"181.78.13.91","elite","AS52468","CO","IFX Networks Argentina S.R.L","196","UFINET COLOMBIA, S. A","5678","socks4","388","1","2023-08-27T07:53:18.148Z","99","3463","3491"
"103.199.97.161","elite","AS45804","IN","New Shivam Cable Network","200","N/A","45804","socks5","5098","1","2023-08-27T07:53:13.036Z","97","3481","3599"
"95.179.232.45","elite","AS20473","GB","The Constant Company, LLC","9","Vultr Holdings LLC London","15737","socks5","4793","2","2023-08-27T07:53:13.134Z","84","2960","3532"
"163.53.83.124","elite","AS45433","IN","Kay Kay Softech Private Limited","246","Kappa  Private Limited","5678","socks4","4792","1","2023-08-27T07:53:12.934Z","68","2394","3509"
"192.154.244.92","elite","AS64200","US","Vivid-hosting LLC","188","Vivid-hosting LLC","9000","socks4","4597","1","2023-08-27T07:53:12.844Z","100","3606","3613"
"203.32.120.50","elite","AS209242","VG","Cloudflare London, LLC","11","Anaga Consulting Limited","80","socks4","4993","1","2023-08-27T07:53:12.849Z","100","3639","3639"
"197.234.13.23","elite","AS36902","SC","Intelvision","190","Intelvision Ltd","4145","socks4","2196","1","2023-08-27T07:53:07.741Z","100","3484","3496"
"203.24.102.152","elite","AS209242","VG","Cloudflare London, LLC","11","Anaga Consulting Limited","80","socks4","5009","1","2023-08-27T07:53:07.742Z","100","3529","3529"
"103.86.1.34","elite","AS136371","IN","Airwir Technologies Private Limited","195","Airwir Technologies Private Limited","4145","socks4","4690","1","2023-08-27T07:53:07.746Z","100","3592","3595"
"38.127.179.125","elite","AS174","US","Cogent Communications","99","Torlandia Trading SRL","46656","socks5","4507","1","2023-08-27T07:53:07.843Z","100","3476","3485"
"51.254.32.143","elite","AS16276","FR","OVH SAS","12","OVH","80","socks5","4897","1","2023-08-27T07:53:07.738Z","100","3502","3502"
"185.220.226.199","elite","AS205585","TR","Noyan Abr Arvan Co. ( Private Joint Stock)","53","Noyan Abr Arvan Co. ( Private Joint Stock)","808","socks4","4905","1","2023-08-27T07:53:07.740Z","87","3067","3532"
"83.142.126.147","elite","AS34169","PL","Media-Com Sp. z o.o.","28","Media-Com Sp. z o.o.","80","socks5","4794","1","2023-08-27T07:53:03.033Z","98","3564","3642"
"46.227.37.149","elite","AS51155","PL","Telemedian - TB Telecom","38","Telemedian","1088","socks4","4600","1","2023-08-27T07:53:03.050Z","100","3617","3629"
"89.237.35.10","elite","AS20485","RU","multi-origin SUTTK","80","N/A","51549","socks4","4996","1","2023-08-27T07:53:03.035Z","98","3576","3634"
"104.25.234.81","elite","AS13335","CA","Cloudflare, Inc.","82","Cloudflare, Inc","80","socks5","4804","1","2023-08-27T07:53:03.037Z","100","3532","3533"
"155.138.238.14","elite","AS20473","US","The Constant Company","98","Vultr Holdings, LLC","808","socks5","4706","2","2023-08-27T07:53:03.038Z","100","3583","3589"
"183.217.204.97","elite","AS9808","CN","China Mobile","291","China Mobile Communications Corporation","8123","socks4","4704","1","2023-08-27T07:53:03.039Z","81","2894","3566"
"148.66.142.19","elite","AS26496","SG","GoDaddy.com, LLC","242","Godaddy.com","61481","socks5","5014","5","2023-08-27T07:53:02.945Z","100","3612","3617"
"61.178.55.53","elite","AS4134","CN","Chinanet","185","N/A","10800","socks4","5192","1","2023-08-27T07:53:02.946Z","77","2733","3536"
"200.70.19.92","elite","AS10834","AR","Telefonica de Argentina","250","Telefonica de Argentina","4153","socks4","5096","1","2023-08-27T07:53:02.949Z","98","3533","3616"
"212.83.137.142","elite","AS12876","FR","Online S.A.S.","1","ONLINE","53840","socks5","5086","1","2023-08-27T07:52:57.638Z","100","3469","3470"
"43.225.163.209","elite","AS133001","IN","Airnet Cable And Datacom Pvt Ltd","115","AIRNETNETWORKS","4153","socks4","4996","1","2023-08-27T07:52:57.636Z","99","3585","3631"
"94.198.213.252","elite","AS49979","IT","La Wireless","51","N/A","5678","socks4","4799","1","2023-08-27T07:52:57.637Z","100","3609","3619"
"185.119.90.32","elite","AS207604","RS","United Internet Ltd.","30","United Internet Ltd.","7497","socks4","4101","1","2023-08-27T07:52:57.634Z","76","2738","3593"
"181.12.80.2","elite","AS7303","AR","Telecom Argentina S.A.","224","Telecom Personal Bs","12000","socks4","2306","1","2023-08-27T07:52:57.641Z","95","3419","3608"
"51.79.166.151","elite","AS16276","SG","OVH SAS","154","OVH Singapore PTE. LTD","10084","socks4","4910","1","2023-08-27T07:52:52.449Z","99","3564","3587"
"70.126.33.226","elite","AS33363","US","Charter Communications","196","Spectrum","47370","socks4","4715","1","2023-08-27T07:52:52.539Z","94","3328","3556"
"103.86.1.2","elite","AS136371","IN","Airwir Technologies Private Limited","194","Airwir Technologies Private Limited","4145","socks4","4995","1","2023-08-27T07:52:52.535Z","100","3584","3586"
"89.22.113.189","elite","AS45012","DE","dogado GmbH","27","dogado GmbH","50563","socks5","1499","1","2023-08-27T07:52:52.550Z","100","3494","3495"
"101.33.200.32","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","295","Tencent Cloud Computing (Beijing) Co., Ltd","8000","socks5","4398","1","2023-08-27T07:52:52.539Z","76","2619","3451"
"75.119.204.206","elite","AS26347","US","New Dream Network, LLC","198","New Dream Network, LLC","30795","socks5","4888","1","2023-08-27T07:52:52.537Z","100","3506","3507"
"36.94.234.177","elite","AS7713","ID","PT. Telekomunikasi Indonesia","300","Telekomunikasi Indonesia","5678","socks4","4517","83","2023-08-27T07:52:52.536Z","99","3507","3525"
"202.148.22.106","elite","AS9794","ID","PT. Core Mediatech","179","Dnet","5678","socks4","4791","4","2023-08-27T07:52:52.533Z","99","3532","3583"
"125.24.56.159","elite","AS23969","TH","TOT Public Company Limited","158","TOT Public Company Limited","4145","socks4","4993","1","2023-08-27T07:52:48.034Z","75","2539","3402"
"45.7.177.221","elite","AS266626","BR","Litoral Telecom","171","Litoral Telecom","39867","socks4","3691","1","2023-08-27T07:52:48.035Z","99","3611","3637"
"193.56.118.1","elite","AS200370","IR","Farzanegan Pars Communications Company PJS","104","Farzanegan Pars Communications Company PJS","1080","socks4","5004","1","2023-08-27T07:52:48.050Z","99","3472","3511"
"190.90.100.233","elite","AS262589","CO","InterNexa Global Network","178","Jasz Comunicaciones Tecnologicas E Interactivas E.U","5678","socks4","5007","1","2023-08-27T07:52:47.951Z","94","3267","3482"
"45.112.125.51","elite","AS58369","ID","FIBERNET","194","N/A","4145","socks4","4795","1","2023-08-27T07:52:47.942Z","99","3557","3596"
"186.251.248.15","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","212","Seanet Telecom Carazinho Eireli","31337","socks4","5094","1","2023-08-27T07:52:47.949Z","99","3510","3531"
"201.103.115.26","elite","AS8151","MX","Uninet S.A. de C.V.","207","UNINET","3128","socks4","4097","86","2023-08-27T07:52:47.946Z","81","2839","3490"
"47.113.189.83","elite","AS37963","CN","Hangzhou Alibaba Advertising Co., Ltd.","291","Aliyun Computing Co., LTD","10012","socks4","4901","1","2023-08-27T07:52:47.944Z","71","2538","3559"
"101.51.104.138","elite","AS23969","TH","TOT Public Company Limited","199","TOT Public Company Limited","4145","socks4","4901","1","2023-08-27T07:52:42.848Z","55","1948","3554"
"155.93.255.137","elite","AS37680","ZA","CISPIPCT1","154","N/A","4153","socks4","5098","1","2023-08-27T07:52:42.849Z","99","3602","3631"
"92.222.237.74","elite","AS16276","FR","OVH SAS","6","LCC LCC","8888","socks5","2095","1","2023-08-27T07:52:42.846Z","100","3558","3558"
"129.205.138.174","elite","AS37353","ZA","SEACOM WC","195","Seacom Western Cape (Pty) Ltd","4145","socks4","4802","1","2023-08-27T07:52:42.853Z","100","3580","3595"
"105.27.199.218","elite","AS37100","ZA","SEACOM Limited","180","Seacom Assignments","5678","socks4","4883","1","2023-08-27T07:52:42.850Z","96","3457","3583"
"175.101.18.21","elite","AS17754","IN","ExcellMedia Pvt Ltd","155","Excell Media Pvt Ltd","5678","socks4","5090","1","2023-08-27T07:52:42.847Z","100","3614","3632"
"196.44.184.138","elite","AS31856","ZW","YoAHRE-MAIN","185","N/A","5678","socks4","5012","1","2023-08-27T07:52:38.035Z","87","3129","3613"
"157.245.82.62","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","59347","socks5","3898","1","2023-08-27T07:52:38.048Z","92","3221","3490"
"38.127.179.67","elite","AS174","US","Cogent Communications","96","Torlandia Trading SRL","11537","socks4","5097","1","2023-08-27T07:52:38.049Z","100","3455","3461"
"193.8.87.85","elite","AS197698","CZ","D-H-T SYSTEMS s.r.o.","23","D-H-T SYSTEMS s.r.o","4444","socks4","4306","1","2023-08-27T07:52:37.947Z","100","3533","3542"
"168.197.28.220","elite","AS264985","BR","silva souza comercio e serviço de informatica ltda","204","silva souza comercio e serviço de informatica ltda","4145","socks4","3901","3","2023-08-27T07:52:31.341Z","84","3060","3627"
"102.69.146.181","elite","AS328451","NG","IP Express Ltd","121","N/A","5678","socks4","3392","83","2023-08-27T07:52:31.339Z","85","3041","3575"
"103.81.13.201","elite","AS135792","IN","Syswall Telecom Pvt. Ltd.","195","Syswall Telecom Pvt. Ltd.","44832","socks4","5101","1","2023-08-27T07:52:31.349Z","100","3633","3645"
"5.59.163.102","elite","AS57888","BA","Telesat d.o.o.","47","DSL-Elektronika d.o.o","5678","socks4","3899","1","2023-08-27T07:52:31.345Z","93","3318","3566"
"197.234.13.19","elite","AS36902","SC","Intelvision","190","Intelvision Ltd","4145","socks4","5002","1","2023-08-27T07:52:31.350Z","100","3573","3583"
"45.7.210.202","elite","AS265729","AR","Cooperativa de Servicios Públicos de Porteña LTDA","290","Cooperativa de Servicios Públicos de Porteña LTDA","26572","socks4","2298","1","2023-08-27T07:52:31.342Z","99","3524","3548"
"124.158.186.34","elite","AS55685","ID","PT Jala Lintas Media","191","N/A","5678","socks4","5194","1","2023-08-27T07:52:31.348Z","93","3384","3639"
"43.153.90.69","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","153","Tencent Cloud Computing","443","socks5","3903","1","2023-08-27T07:52:31.635Z","72","2576","3574"
"128.199.131.98","elite","AS14061","SG","DigitalOcean, LLC","195","DigitalOcean, LLC","18182","socks5","4698","1","2023-08-27T07:52:31.639Z","100","3494","3496"
"36.93.137.146","elite","AS7713","ID","Telekomunikasi Indonesia","281","HSI Indihome","5678","socks4","5092","1","2023-08-27T07:52:26.241Z","99","3477","3518"
"107.181.161.133","elite","AS46562","US","Performive LLC","176","Total Server Solutions L.L.C","11987","socks4","3800","1","2023-08-27T07:52:26.236Z","98","3519","3581"
"102.66.233.180","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","206","Herotel","5678","socks4","3690","1","2023-08-27T07:52:26.240Z","24","847","3584"
"196.251.10.211","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","282","HERO TELECOMS (PTY) LTD","5678","socks4","4603","1","2023-08-27T07:52:26.239Z","32","1155","3601"
"162.12.217.4","elite","AS204902","FR","Weelax","189","XIWO","3629","socks4","4998","82","2023-08-27T07:52:26.235Z","99","3544","3591"
"88.212.26.206","elite","AS42841","SK","Antik Network","52","ANTIK Telecom s.r.o.","5678","socks4","4511","2","2023-08-27T07:52:26.246Z","99","3501","3551"
"103.47.93.218","elite","AS134058","IN","Broban Internet Services Pvt.ltd","186","Broban  PVT Ltd.","1080","socks4","5096","82","2023-08-27T07:52:21.349Z","99","3500","3523"
"173.249.2.150","elite","AS51167","DE","Contabo GmbH","79","Contabo GmbH","57725","socks4","5093","1","2023-08-27T07:52:21.534Z","100","3512","3522"
"103.140.75.11","elite","AS138891","ID","PT Kayong Muara Teknoindo","197","N/A","5678","socks4","4809","1","2023-08-27T07:52:21.346Z","97","3456","3567"
"104.19.120.84","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks5","4702","1","2023-08-27T07:52:21.436Z","100","3589","3590"
"181.114.232.59","elite","AS265714","CL","TV CABLE DEL SUR LTDA","237","TV CABLE DEL SUR EIRL","31337","socks4","5090","1","2023-08-27T07:52:21.350Z","99","3579","3625"
"1.0.136.198","elite","AS23969","TH","TOT Public Company Limited","157","TOT Public Company Limited","4145","socks4","4894","1","2023-08-27T07:52:21.433Z","52","1862","3579"
"94.20.21.7","elite","AS29049","AZ","Delta Telecom","89","N/A","4153","socks4","4907","1","2023-08-27T07:52:21.344Z","100","3546","3557"
"112.54.33.47","elite","AS9808","CN","China Mobile","391","China Mobile Communications Corporation","7302","socks5","4998","1","2023-08-27T07:52:16.538Z","44","1547","3529"
"212.50.78.202","elite","AS34754","BG","Telnet Limited Liaskovec","53","N/A","5678","socks4","5093","1","2023-08-27T07:52:16.642Z","100","3528","3532"
"157.185.178.152","elite","AS54994","CA","Meteverse Limited.","116","Meteverse Limited","26589","socks5","4111","1","2023-08-27T07:52:16.446Z","100","3463","3467"
"113.86.204.187","elite","AS4134","CN","Chinanet","227","Chinanet GD","44844","socks5","5099","1","2023-08-27T07:52:16.535Z","56","1984","3571"
"43.153.174.4","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","228","Tencent Cloud Computing","443","socks5","5195","2","2023-08-27T07:52:16.450Z","53","1918","3599"
"36.95.84.225","elite","AS7713","ID","PT. Telekomunikasi Indonesia","196","Telekomunikasi Indonesia","5678","socks4","204","1","2023-08-27T07:52:16.539Z","5","199","3633"
"138.99.93.227","elite","AS264161","BR","Fgtech Informatica Ltda","185","Fgtech Informatica Ltda","4145","socks4","4516","1","2023-08-27T07:52:16.542Z","98","3525","3604"
"79.141.173.165","elite","AS202015","US","N/A","121","Hostzealot LTD","3128","socks4","3496","2","2023-08-27T07:52:11.444Z","60","2112","3542"
"179.107.52.31","elite","AS263284","BR","Topmega Internet e Informática LTDA -ME","227","Topmega Internet e Informática LTDA -ME","4145","socks4","3898","1","2023-08-27T07:52:11.434Z","95","3427","3590"
"103.117.108.89","elite","AS137935","BD","I Link Internet Service (I.T)","197","I Link Internet Service (I.T)","4153","socks4","4002","1","2023-08-27T07:52:11.442Z","99","3524","3567"
"103.76.210.85","elite","AS24186","IN","Lightwave Technologies Pvt Ltd","203","Light Wave Technologies PVT LTD","5678","socks5","4905","1","2023-08-27T07:52:11.441Z","92","3313","3586"
"103.70.206.17","elite","AS135712","IN","Euron Communications Pvt. Ltd","199","Euron Communications Pvt. Ltd.","59311","socks4","4794","1","2023-08-27T07:52:11.439Z","99","3620","3639"
"112.109.20.198","elite","AS24521","ID","DATAUTAMANET","283","N/A","4153","socks4","3212","1","2023-08-27T07:52:11.437Z","99","3482","3533"
"47.242.149.229","elite","AS45102","HK","Alibaba.com LLC","295","Hong Kong","443","socks5","5010","1","2023-08-27T07:52:11.443Z","81","2896","3563"
"165.22.223.82","elite","AS14061","IN","DigitalOcean, LLC","179","DigitalOcean, LLC","51211","socks4","4900","2","2023-08-27T07:52:06.550Z","100","3543","3543"
"200.12.37.170","elite","AS26617","GT","Navega.com S.A.","188","Servicios Innovadores de Comunicación y Entretenimiento, S.A","5678","socks4","3585","1","2023-08-27T07:52:06.449Z","99","3466","3497"
"45.77.161.73","elite","AS20473","US","The Constant Company","290","Vultr Holdings, LLC","10014","socks4","4185","1","2023-08-27T07:52:06.444Z","88","3188","3641"
"150.107.207.137","elite","AS58504","NP","Techminds Network Pvt. Ltd","187","N/A","57230","socks4","4803","1","2023-08-27T07:52:06.447Z","98","3515","3590"
"178.62.3.211","elite","AS14061","GB","DigitalOcean, LLC","16","Digital Ocean","3128","socks4","4797","1","2023-08-27T07:52:06.441Z","98","3398","3485"
"75.119.203.97","elite","AS26347","US","New Dream Network, LLC","182","New Dream Network, LLC","32524","socks5","4701","1","2023-08-27T07:52:01.637Z","100","3593","3594"
"62.171.137.122","elite","AS51167","DE","Contabo GmbH","19","Contabo GmbH","61568","socks5","2505","1","2023-08-27T07:52:01.738Z","100","3536","3540"
"37.221.67.62","elite","AS200019","MD","Alexhost SRL","46","Alexhost SRL","5555","socks4","4802","1","2023-08-27T07:52:01.737Z","90","3196","3546"
"5.189.133.192","elite","AS51167","DE","Contabo GmbH","101","Contabo GmbH","50893","socks5","4494","1","2023-08-27T07:52:01.740Z","100","3549","3551"
"110.77.161.197","elite","AS131090","TH","CAT-BB","185","N/A","4145","socks4","4793","1","2023-08-27T07:52:01.634Z","75","2634","3506"
"103.113.3.236","elite","AS137342","ID","Diskominfo Tangerang Selatan","189","N/A","4145","socks4","3992","1","2023-08-27T07:52:01.641Z","97","3371","3487"
"103.4.118.130","elite","AS38203","BD","ADN Telecom Ltd.","383","ADN Telecom Limited.","5678","socks4","3495","1","2023-08-27T07:52:01.639Z","86","3082","3600"
"89.237.33.97","elite","AS20485","RU","multi-origin SUTTK","69","N/A","51549","socks4","5184","1","2023-08-27T07:52:01.642Z","99","3530","3580"
"51.210.249.202","elite","AS16276","FR","OVH SAS","6","OVH","29439","socks4","4998","1","2023-08-27T07:51:56.739Z","100","3543","3548"
"192.12.112.65","elite","AS61942","BR","Turbonet Telecom Ltda","189","Turbonet Telecom Ltda","4145","socks4","4693","1","2023-08-27T07:51:56.635Z","99","3561","3601"
"47.242.18.103","elite","AS45102","HK","Alibaba.com LLC","298","Hong Kong","61507","socks5","2604","1","2023-08-27T07:51:56.639Z","88","3122","3536"
"202.53.172.76","elite","AS23923","BD","Agni Systems Ltd.","164","Agni 12","5678","socks4","5093","1","2023-08-27T07:51:56.640Z","98","3528","3600"
"188.255.244.145","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","99","Orion Telekom Tim d.o.o.Beograd","1080","socks4","4897","1","2023-08-27T07:51:51.651Z","100","3579","3582"
"116.202.177.193","elite","AS24940","DE","Hetzner","101","N/A","1080","socks5","2797","1","2023-08-27T07:51:51.747Z","45","1631","3605"
"103.105.41.209","elite","AS137143","IN","Minnal Digital Network Private Limited","200","Minnal Digital Network Private Limited","4145","socks4","3615","2","2023-08-27T07:51:46.744Z","100","3567","3577"
"177.38.5.230","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","220","FÁBIO MENDES DIAS LTDA ME","4153","socks5","4502","1","2023-08-27T07:51:46.746Z","88","3115","3559"
"38.127.173.84","elite","AS174","US","Cogent Communications","84","Torlandia Trading SRL","11537","socks4","5006","1","2023-08-27T07:51:46.844Z","100","3563","3572"
"103.47.93.194","elite","AS134058","IN","Broban Internet Services Pvt.ltd","153","Broban  PVT Ltd.","1080","socks4","3697","1","2023-08-27T07:51:46.749Z","99","3580","3606"
"58.240.192.158","elite","AS4837","CN","CNC Group Jiangsu province network","187","N/A","4145","socks4","4692","1","2023-08-27T07:51:41.740Z","84","2957","3515"
"140.83.51.186","elite","AS31898","JP","Oracle Corporation","290","Oracle Cloud Infrastructure (ap-osaka-1)","1080","socks4","3702","1","2023-08-27T07:51:41.741Z","96","3416","3572"
"196.2.13.12","elite","AS25429","BI","CBINET Burundi","178","Cbinet","4153","socks4","5205","1","2023-08-27T07:51:41.738Z","89","3195","3573"
"202.123.178.202","elite","AS24337","LA","Sky Telecom State Company","289","Skytelfibernet","30208","socks4","1502","1","2023-08-27T07:51:41.737Z","94","3344","3542"
